_element_key,_element_name,_element_type,_list_child_element_keys
aboveground_tank_breached,aboveground_tank_breached,string,[]
aboveground_tank_breached_com,aboveground_tank_breached_com,string,[]
aboveground_tank_breached_fu,aboveground_tank_breached_fu,string,[]
aboveground_tank_liquid,aboveground_tank_liquid,string,[]
aboveground_tank_liquid_com,aboveground_tank_liquid_com,string,[]
aboveground_tank_liquid_fu,aboveground_tank_liquid_fu,string,[]
berm_drainage_valves,berm_drainage_valves,string,[]
berm_drainage_valves_com,berm_drainage_valves_com,string,[]
berm_drainage_valves_fu,berm_drainage_valves_fu,string,[]
buried_pipilines_exposed,buried_pipilines_exposed,string,[]
buried_pipilines_exposed_com,buried_pipilines_exposed_com,string,[]
buried_pipilines_exposed_fu,buried_pipilines_exposed_fu,string,[]
capacity,capacity,string,[]
connections_blank_flanged,connections_blank_flanged,string,[]
connections_blank_flanged_com,connections_blank_flanged_com,string,[]
connections_blank_flanged_fu,connections_blank_flanged_fu,string,[]
construction,construction,string,[]
consumable_name_0,consumable_name_0,string,[]
consumable_name_1,consumable_name_1,string,[]
consumable_name_2,consumable_name_2,string,[]
consumable_quantity_0,consumable_quantity_0,string,[]
consumable_quantity_1,consumable_quantity_1,string,[]
consumable_quantity_2,consumable_quantity_2,string,[]
consumable_totalhrs_0,consumable_totalhrs_0,string,[]
consumable_totalhrs_1,consumable_totalhrs_1,string,[]
consumable_totalhrs_2,consumable_totalhrs_2,string,[]
containment_berm_stains,containment_berm_stains,string,[]
containment_berm_stains_com,containment_berm_stains_com,string,[]
containment_berm_stains_fu,containment_berm_stains_fu,string,[]
equipment_name_0,equipment_name_0,string,[]
equipment_name_1,equipment_name_1,string,[]
equipment_name_2,equipment_name_2,string,[]
equipment_pretector_missing,equipment_pretector_missing,string,[]
equipment_pretector_missing_com,equipment_pretector_missing_com,string,[]
equipment_pretector_missing_fu,equipment_pretector_missing_fu,string,[]
equipment_quantity_0,equipment_quantity_0,string,[]
equipment_quantity_1,equipment_quantity_1,string,[]
equipment_quantity_2,equipment_quantity_2,string,[]
equipment_totalhrs_0,equipment_totalhrs_0,string,[]
equipment_totalhrs_1,equipment_totalhrs_1,string,[]
equipment_totalhrs_2,equipment_totalhrs_2,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
inspection_id,inspection_id,string,[]
inspector_name,inspector_name,string,[]
level_gauges_alarm,level_gauges_alarm,string,[]
level_gauges_alarm_com,level_gauges_alarm_com,string,[]
level_gauges_alarm_fu,level_gauges_alarm_fu,string,[]
loading_lines_damaged,loading_lines_damaged,string,[]
loading_lines_damaged_com,loading_lines_damaged_com,string,[]
loading_lines_damaged_fu,loading_lines_damaged_fu,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
personnel_endtime_0,personnel_endtime_0,string,[]
personnel_endtime_1,personnel_endtime_1,string,[]
personnel_endtime_2,personnel_endtime_2,string,[]
personnel_name_0,personnel_name_0,string,[]
personnel_name_1,personnel_name_1,string,[]
personnel_name_2,personnel_name_2,string,[]
personnel_starttime_0,personnel_starttime_0,string,[]
personnel_starttime_1,personnel_starttime_1,string,[]
personnel_starttime_2,personnel_starttime_2,string,[]
personnel_title_0,personnel_title_0,string,[]
personnel_title_1,personnel_title_1,string,[]
personnel_title_2,personnel_title_2,string,[]
personnel_totalhrs_0,personnel_totalhrs_0,string,[]
personnel_totalhrs_1,personnel_totalhrs_1,string,[]
personnel_totalhrs_2,personnel_totalhrs_2,string,[]
primary_contents,primary_contents,string,[]
project_comment,project_comment,string,[]
project_daily_report,project_daily_report,string,[]
project_number,project_number,string,[]
sample_date,sample_date,string,[]
secondary_containment_damaged,secondary_containment_damaged,string,[]
secondary_containment_damaged_com,secondary_containment_damaged_com,string,[]
secondary_containment_damaged_fu,secondary_containment_damaged_fu,string,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
spill_bucket_damaged,spill_bucket_damaged,string,[]
spill_bucket_damaged_com,spill_bucket_damaged_com,string,[]
spill_bucket_damaged_fu,spill_bucket_damaged_fu,string,[]
spill_material_missing,spill_material_missing,string,[]
spill_material_missing_com,spill_material_missing_com,string,[]
spill_material_missing_fu,spill_material_missing_fu,string,[]
supply_gaskets_damaged,supply_gaskets_damaged,string,[]
supply_gaskets_damaged_com,supply_gaskets_damaged_com,string,[]
supply_gaskets_damaged_fu,supply_gaskets_damaged_fu,string,[]
tank_area_blocked,tank_area_blocked,string,[]
tank_area_blocked_com,tank_area_blocked_com,string,[]
tank_area_blocked_fu,tank_area_blocked_fu,string,[]
tank_id,tank_id,string,[]
tank_surface_rust,tank_surface_rust,string,[]
tank_surface_rust_com,tank_surface_rust_com,string,[]
tank_surface_rust_fu,tank_surface_rust_fu,string,[]
thief_hatch_seal,thief_hatch_seal,string,[]
thief_hatch_seal_com,thief_hatch_seal_com,string,[]
thief_hatch_seal_fu,thief_hatch_seal_fu,string,[]
vehicle_name_0,vehicle_name_0,string,[]
vehicle_name_1,vehicle_name_1,string,[]
vehicle_name_2,vehicle_name_2,string,[]
vehicle_quantity_0,vehicle_quantity_0,string,[]
vehicle_quantity_1,vehicle_quantity_1,string,[]
vehicle_quantity_2,vehicle_quantity_2,string,[]
vehicle_totalhrs_0,vehicle_totalhrs_0,string,[]
vehicle_totalhrs_1,vehicle_totalhrs_1,string,[]
vehicle_totalhrs_2,vehicle_totalhrs_2,string,[]
vent_pipes_obstruct,vent_pipes_obstruct,string,[]
vent_pipes_obstruct_com,vent_pipes_obstruct_com,string,[]
vent_pipes_obstruct_fu,vent_pipes_obstruct_fu,string,[]
weather,weather,string,[]
