_element_key,_element_name,_element_type,_list_child_element_keys
aboveground_tank_breached,aboveground_tank_breached,string,[]
aboveground_tank_breached_com,aboveground_tank_breached_com,string,[]
aboveground_tank_breached_fu,aboveground_tank_breached_fu,string,[]
aboveground_tank_liquid,aboveground_tank_liquid,string,[]
aboveground_tank_liquid_com,aboveground_tank_liquid_com,string,[]
aboveground_tank_liquid_fu,aboveground_tank_liquid_fu,string,[]
area_location,area_location,string,[]
berm_drainage_valves,berm_drainage_valves,string,[]
berm_drainage_valves_com,berm_drainage_valves_com,string,[]
berm_drainage_valves_fu,berm_drainage_valves_fu,string,[]
buried_pipilines_exposed,buried_pipilines_exposed,string,[]
buried_pipilines_exposed_com,buried_pipilines_exposed_com,string,[]
buried_pipilines_exposed_fu,buried_pipilines_exposed_fu,string,[]
connections_blank_flanged,connections_blank_flanged,string,[]
connections_blank_flanged_com,connections_blank_flanged_com,string,[]
connections_blank_flanged_fu,connections_blank_flanged_fu,string,[]
containment_berm_stains,containment_berm_stains,string,[]
containment_berm_stains_com,containment_berm_stains_com,string,[]
containment_berm_stains_fu,containment_berm_stains_fu,string,[]
equipment_pretector_missing,equipment_pretector_missing,string,[]
equipment_pretector_missing_com,equipment_pretector_missing_com,string,[]
equipment_pretector_missing_fu,equipment_pretector_missing_fu,string,[]
inspection_id,inspection_id,string,[]
level_gauges_alarm,level_gauges_alarm,string,[]
level_gauges_alarm_com,level_gauges_alarm_com,string,[]
level_gauges_alarm_fu,level_gauges_alarm_fu,string,[]
loading_lines_damaged,loading_lines_damaged,string,[]
loading_lines_damaged_com,loading_lines_damaged_com,string,[]
loading_lines_damaged_fu,loading_lines_damaged_fu,string,[]
loc_name,loc_name,string,[]
secondary_containment_damaged,secondary_containment_damaged,string,[]
secondary_containment_damaged_com,secondary_containment_damaged_com,string,[]
secondary_containment_damaged_fu,secondary_containment_damaged_fu,string,[]
spill_bucket_damaged,spill_bucket_damaged,string,[]
spill_bucket_damaged_com,spill_bucket_damaged_com,string,[]
spill_bucket_damaged_fu,spill_bucket_damaged_fu,string,[]
spill_material_missing,spill_material_missing,string,[]
spill_material_missing_com,spill_material_missing_com,string,[]
spill_material_missing_fu,spill_material_missing_fu,string,[]
supply_gaskets_damaged,supply_gaskets_damaged,string,[]
supply_gaskets_damaged_com,supply_gaskets_damaged_com,string,[]
supply_gaskets_damaged_fu,supply_gaskets_damaged_fu,string,[]
tank_area_blocked,tank_area_blocked,string,[]
tank_area_blocked_com,tank_area_blocked_com,string,[]
tank_area_blocked_fu,tank_area_blocked_fu,string,[]
tank_surface_rust,tank_surface_rust,string,[]
tank_surface_rust_com,tank_surface_rust_com,string,[]
tank_surface_rust_fu,tank_surface_rust_fu,string,[]
thief_hatch_seal,thief_hatch_seal,string,[]
thief_hatch_seal_com,thief_hatch_seal_com,string,[]
thief_hatch_seal_fu,thief_hatch_seal_fu,string,[]
threat_procedures_not_posted,threat_procedures_not_posted,string,[]
threat_procedures_not_posted_com,threat_procedures_not_posted_com,string,[]
threat_procedures_not_posted_fu,threat_procedures_not_posted_fu,string,[]
vent_pipes_obstruct,vent_pipes_obstruct,string,[]
vent_pipes_obstruct_com,vent_pipes_obstruct_com,string,[]
vent_pipes_obstruct_fu,vent_pipes_obstruct_fu,string,[]
