_element_key,_element_name,_element_type,_list_child_element_keys
access_blocked_inspection,access_blocked_inspection,string,[]
access_blocked_inspection_custom,access_blocked_inspection_custom,string,[]
access_blocked_inspection_fu,access_blocked_inspection_fu,string,[]
capacity,capacity,string,[]
container,container,string,[]
container_damaged_leaking,container_damaged_leaking,string,[]
container_damaged_leaking_custom,container_damaged_leaking_custom,string,[]
container_damaged_leaking_fu,container_damaged_leaking_fu,string,[]
contents,contents,string,[]
guage_doesnot_function,guage_doesnot_function,string,[]
guage_doesnot_function_custom,guage_doesnot_function_custom,string,[]
guage_doesnot_function_fu,guage_doesnot_function_fu,string,[]
inspection_id,inspection_id,string,[]
label_sign_missing,label_sign_missing,string,[]
label_sign_missing_custom,label_sign_missing_custom,string,[]
label_sign_missing_fu,label_sign_missing_fu,string,[]
loc_name,loc_name,string,[]
secondary_containment_inadequate,secondary_containment_inadequate,string,[]
secondary_containment_inadequate_custom,secondary_containment_inadequate_custom,string,[]
secondary_containment_inadequate_fu,secondary_containment_inadequate_fu,string,[]
spill_material_needed,spill_material_needed,string,[]
spill_material_needed_custom,spill_material_needed_custom,string,[]
spill_material_needed_fu,spill_material_needed_fu,string,[]
spillage_staining,spillage_staining,string,[]
spillage_staining_custom,spillage_staining_custom,string,[]
spillage_staining_fu,spillage_staining_fu,string,[]
transf_pump_leaking,transf_pump_leaking,string,[]
transf_pump_leaking_custom,transf_pump_leaking_custom,string,[]
transf_pump_leaking_fu,transf_pump_leaking_fu,string,[]
unstable_surface,unstable_surface,string,[]
unstable_surface_custom,unstable_surface_custom,string,[]
unstable_surface_fu,unstable_surface_fu,string,[]
