_partition,_aspect,_key,_type,_value
Column,access_blocked_inspection,displayChoicesList,object,"[{""choice_list_name"":""yesno"",""data_value"":""Yes"",""display"":{""text"":""Yes""},""_row_num"":12},{""choice_list_name"":""yesno"",""data_value"":""No"",""display"":{""text"":""No""},""_row_num"":13},{""choice_list_name"":""yesno"",""data_value"":""N/A"",""display"":{""text"":""NA""},""_row_num"":14}]"
Column,access_blocked_inspection,displayFormat,string,""
Column,access_blocked_inspection,displayName,string,"""access_blocked_inspection"""
Column,access_blocked_inspection,displayVisible,boolean,TRUE
Column,access_blocked_inspection,joins,object,""
Column,access_blocked_inspection_custom,displayChoicesList,object,[]
Column,access_blocked_inspection_custom,displayFormat,string,""
Column,access_blocked_inspection_custom,displayName,string,"""access_blocked_inspection_custom"""
Column,access_blocked_inspection_custom,displayVisible,boolean,TRUE
Column,access_blocked_inspection_custom,joins,object,""
Column,access_blocked_inspection_fu,displayChoicesList,object,"[{""choice_list_name"":""followup_values"",""data_value"":1,""display"":{""text"":""Report as Emergency""},""_row_num"":15},{""choice_list_name"":""followup_values"",""data_value"":2,""display"":{""text"":""Repair Needed""},""_row_num"":16},{""choice_list_name"":""followup_values"",""data_value"":3,""display"":{""text"":""Replacement Needed""},""_row_num"":17}]"
Column,access_blocked_inspection_fu,displayFormat,string,""
Column,access_blocked_inspection_fu,displayName,string,"""access_blocked_inspection_fu"""
Column,access_blocked_inspection_fu,displayVisible,boolean,TRUE
Column,access_blocked_inspection_fu,joins,object,""
Column,capacity,displayChoicesList,object,[]
Column,capacity,displayFormat,string,""
Column,capacity,displayName,string,"""capacity"""
Column,capacity,displayVisible,boolean,TRUE
Column,capacity,joins,object,""
Column,container,displayChoicesList,object,"[{""choice_list_name"":""container_locations"",""data_value"":""Periodic Inspections- platform 5 South of track 4"",""display"":{""text"":""Periodic Inspections- platform 5 South of track 4""},""_row_num"":2},{""choice_list_name"":""container_locations"",""data_value"":""T5 (S) bottom"",""display"":{""text"":""T5 (S) bottom""},""_row_num"":3},{""choice_list_name"":""container_locations"",""data_value"":""T5 (S) bottom platform 02703"",""display"":{""text"":""T5 (S) bottom platform 02703""},""_row_num"":4},{""choice_list_name"":""container_locations"",""data_value"":""T6 in front of platform"",""display"":{""text"":""T6 in front of platform""},""_row_num"":5},{""choice_list_name"":""container_locations"",""data_value"":""T6 (S) top platform # 04053"",""display"":{""text"":""T6 (S) top platform # 04053""},""_row_num"":6},{""choice_list_name"":""container_locations"",""data_value"":""NW end of PM- Forklift access area"",""display"":{""text"":""NW end of PM- Forklift access area""},""_row_num"":7},{""choice_list_name"":""container_locations"",""data_value"":""Forklift Access Area (columns 22- 29) #01259"",""display"":{""text"":""Forklift Access Area (columns 22- 29) #01259""},""_row_num"":8},{""choice_list_name"":""container_locations"",""data_value"":""columns 35 & 36"",""display"":{""text"":""columns 35 & 36""},""_row_num"":9},{""choice_list_name"":""container_locations"",""data_value"":""Oil Filter Totes"",""display"":{""text"":""Oil Filter Totes""},""_row_num"":10},{""choice_list_name"":""container_locations"",""data_value"":""Wheel Truing Area"",""display"":{""text"":""Wheel Truing Area""},""_row_num"":11}]"
Column,container,displayFormat,string,""
Column,container,displayName,string,"""container"""
Column,container,displayVisible,boolean,TRUE
Column,container,joins,object,""
Column,container_damaged_leaking,displayChoicesList,object,"[{""choice_list_name"":""yesno"",""data_value"":""Yes"",""display"":{""text"":""Yes""},""_row_num"":12},{""choice_list_name"":""yesno"",""data_value"":""No"",""display"":{""text"":""No""},""_row_num"":13},{""choice_list_name"":""yesno"",""data_value"":""N/A"",""display"":{""text"":""NA""},""_row_num"":14}]"
Column,container_damaged_leaking,displayFormat,string,""
Column,container_damaged_leaking,displayName,string,"""container_damaged_leaking"""
Column,container_damaged_leaking,displayVisible,boolean,TRUE
Column,container_damaged_leaking,joins,object,""
Column,container_damaged_leaking_custom,displayChoicesList,object,[]
Column,container_damaged_leaking_custom,displayFormat,string,""
Column,container_damaged_leaking_custom,displayName,string,"""container_damaged_leaking_custom"""
Column,container_damaged_leaking_custom,displayVisible,boolean,TRUE
Column,container_damaged_leaking_custom,joins,object,""
