_element_key,_element_name,_element_type,_list_child_element_keys
area_location,area_location,string,[]
bulk_storage_tanks,bulk_storage_tanks,string,[]
bulk_storage_tanks_actions,bulk_storage_tanks_actions,string,[]
bulk_storage_tanks_prob,bulk_storage_tanks_prob,string,[]
catch_basins,catch_basins,string,[]
catch_basins_actions,catch_basins_actions,string,[]
catch_basins_prob,catch_basins_prob,string,[]
changes_occured_stormwater,changes_occured_stormwater,string,[]
changes_occured_stormwater_actions,changes_occured_stormwater_actions,string,[]
changes_occured_stormwater_prob,changes_occured_stormwater_prob,string,[]
comments,comments,string,[]
drums_containers_labelled,drums_containers_labelled,string,[]
drums_containers_labelled_actions,drums_containers_labelled_actions,string,[]
drums_containers_labelled_prob,drums_containers_labelled_prob,string,[]
dumpster_lids,dumpster_lids,string,[]
dumpster_lids_actions,dumpster_lids_actions,string,[]
dumpster_lids_prob,dumpster_lids_prob,string,[]
evidence_dry_water,evidence_dry_water,string,[]
evidence_dry_water_actions,evidence_dry_water_actions,string,[]
evidence_dry_water_prob,evidence_dry_water_prob,string,[]
good_housekeeping_procedures,good_housekeeping_procedures,string,[]
good_housekeeping_procedures_actions,good_housekeeping_procedures_actions,string,[]
good_housekeeping_procedures_prob,good_housekeeping_procedures_prob,string,[]
inspection_id,inspection_id,string,[]
loc_name,loc_name,string,[]
locomotive_storage,locomotive_storage,string,[]
locomotive_storage_actions,locomotive_storage_actions,string,[]
locomotive_storage_prob,locomotive_storage_prob,string,[]
non_incidental_spills,non_incidental_spills,string,[]
non_incidental_spills_actions,non_incidental_spills_actions,string,[]
non_incidental_spills_prob,non_incidental_spills_prob,string,[]
operations_storage_material,operations_storage_material,string,[]
operations_storage_material_actions,operations_storage_material_actions,string,[]
operations_storage_material_prob,operations_storage_material_prob,string,[]
spill_response_material,spill_response_material,string,[]
spill_response_material_actions,spill_response_material_actions,string,[]
spill_response_material_prob,spill_response_material_prob,string,[]
traction_sand_intrerfering,traction_sand_intrerfering,string,[]
traction_sand_intrerfering_actions,traction_sand_intrerfering_actions,string,[]
traction_sand_intrerfering_prob,traction_sand_intrerfering_prob,string,[]
