_element_key,_element_name,_element_type,_list_child_element_keys
automatic_overfill_protection,automatic_overfill_protection,string,[]
automatic_overfill_protection_com,automatic_overfill_protection_com,string,[]
automatic_overfill_protection_fu,automatic_overfill_protection_fu,string,[]
capacity,capacity,string,[]
construction,construction,string,[]
consumable_name_0,consumable_name_0,string,[]
consumable_name_1,consumable_name_1,string,[]
consumable_name_2,consumable_name_2,string,[]
consumable_quantity_0,consumable_quantity_0,string,[]
consumable_quantity_1,consumable_quantity_1,string,[]
consumable_quantity_2,consumable_quantity_2,string,[]
consumable_totalhrs_0,consumable_totalhrs_0,string,[]
consumable_totalhrs_1,consumable_totalhrs_1,string,[]
consumable_totalhrs_2,consumable_totalhrs_2,string,[]
dispenser_fuel_staining,dispenser_fuel_staining,string,[]
dispenser_fuel_staining_com,dispenser_fuel_staining_com,string,[]
dispenser_fuel_staining_fu,dispenser_fuel_staining_fu,string,[]
dispenser_hardware_leaking,dispenser_hardware_leaking,string,[]
dispenser_hardware_leaking_com,dispenser_hardware_leaking_com,string,[]
dispenser_hardware_leaking_fu,dispenser_hardware_leaking_fu,string,[]
equipment_name_0,equipment_name_0,string,[]
equipment_name_1,equipment_name_1,string,[]
equipment_name_2,equipment_name_2,string,[]
equipment_quantity_0,equipment_quantity_0,string,[]
equipment_quantity_1,equipment_quantity_1,string,[]
equipment_quantity_2,equipment_quantity_2,string,[]
equipment_totalhrs_0,equipment_totalhrs_0,string,[]
equipment_totalhrs_1,equipment_totalhrs_1,string,[]
equipment_totalhrs_2,equipment_totalhrs_2,string,[]
equipment_vegetation,equipment_vegetation,string,[]
equipment_vegetation_com,equipment_vegetation_com,string,[]
equipment_vegetation_fu,equipment_vegetation_fu,string,[]
evidence_spillage_overfilling,evidence_spillage_overfilling,string,[]
evidence_spillage_overfilling_com,evidence_spillage_overfilling_com,string,[]
evidence_spillage_overfilling_fu,evidence_spillage_overfilling_fu,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
inspection_id,inspection_id,string,[]
inspector_name,inspector_name,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
manholecovers_subsurface_equipment,manholecovers_subsurface_equipment,string,[]
manholecovers_subsurface_equipment_com,manholecovers_subsurface_equipment_com,string,[]
manholecovers_subsurface_equipment_fu,manholecovers_subsurface_equipment_fu,string,[]
personnel_endtime_0,personnel_endtime_0,string,[]
personnel_endtime_1,personnel_endtime_1,string,[]
personnel_endtime_2,personnel_endtime_2,string,[]
personnel_name_0,personnel_name_0,string,[]
personnel_name_1,personnel_name_1,string,[]
personnel_name_2,personnel_name_2,string,[]
personnel_starttime_0,personnel_starttime_0,string,[]
personnel_starttime_1,personnel_starttime_1,string,[]
personnel_starttime_2,personnel_starttime_2,string,[]
personnel_title_0,personnel_title_0,string,[]
personnel_title_1,personnel_title_1,string,[]
personnel_title_2,personnel_title_2,string,[]
personnel_totalhrs_0,personnel_totalhrs_0,string,[]
personnel_totalhrs_1,personnel_totalhrs_1,string,[]
personnel_totalhrs_2,personnel_totalhrs_2,string,[]
primary_contents,primary_contents,string,[]
project_comment,project_comment,string,[]
project_daily_report,project_daily_report,string,[]
project_number,project_number,string,[]
sample_date,sample_date,string,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
spill_buckets_damaged,spill_buckets_damaged,string,[]
spill_buckets_damaged_com,spill_buckets_damaged_com,string,[]
spill_buckets_damaged_fu,spill_buckets_damaged_fu,string,[]
spill_material_replacement,spill_material_replacement,string,[]
spill_material_replacement_com,spill_material_replacement_com,string,[]
spill_material_replacement_fu,spill_material_replacement_fu,string,[]
structural_damage,structural_damage,string,[]
structural_damage_com,structural_damage_com,string,[]
structural_damage_fu,structural_damage_fu,string,[]
tank_damaged_labeled,tank_damaged_labeled,string,[]
tank_damaged_labeled_com,tank_damaged_labeled_com,string,[]
tank_damaged_labeled_fu,tank_damaged_labeled_fu,string,[]
tank_id,tank_id,string,[]
tank_vent_obstructed,tank_vent_obstructed,string,[]
tank_vent_obstructed_com,tank_vent_obstructed_com,string,[]
tank_vent_obstructed_fu,tank_vent_obstructed_fu,string,[]
threat_procedures_not_posted,threat_procedures_not_posted,string,[]
threat_procedures_not_posted_com,threat_procedures_not_posted_com,string,[]
threat_procedures_not_posted_fu,threat_procedures_not_posted_fu,string,[]
vehicle_name_0,vehicle_name_0,string,[]
vehicle_name_1,vehicle_name_1,string,[]
vehicle_name_2,vehicle_name_2,string,[]
vehicle_quantity_0,vehicle_quantity_0,string,[]
vehicle_quantity_1,vehicle_quantity_1,string,[]
vehicle_quantity_2,vehicle_quantity_2,string,[]
vehicle_totalhrs_0,vehicle_totalhrs_0,string,[]
vehicle_totalhrs_1,vehicle_totalhrs_1,string,[]
vehicle_totalhrs_2,vehicle_totalhrs_2,string,[]
weather,weather,string,[]
