_element_key,_element_name,_element_type,_list_child_element_keys
area_location,area_location,string,[]
automatic_overfill_protection,automatic_overfill_protection,string,[]
automatic_overfill_protection_com,automatic_overfill_protection_com,string,[]
automatic_overfill_protection_fu,automatic_overfill_protection_fu,string,[]
capacity,capacity,string,[]
construction,construction,string,[]
dispenser_fuel_staining,dispenser_fuel_staining,string,[]
dispenser_fuel_staining_com,dispenser_fuel_staining_com,string,[]
dispenser_fuel_staining_fu,dispenser_fuel_staining_fu,string,[]
dispenser_hardware_leaking,dispenser_hardware_leaking,string,[]
dispenser_hardware_leaking_com,dispenser_hardware_leaking_com,string,[]
dispenser_hardware_leaking_fu,dispenser_hardware_leaking_fu,string,[]
equipment_vegetation,equipment_vegetation,string,[]
equipment_vegetation_com,equipment_vegetation_com,string,[]
equipment_vegetation_fu,equipment_vegetation_fu,string,[]
evidence_spillage_overfilling,evidence_spillage_overfilling,string,[]
evidence_spillage_overfilling_com,evidence_spillage_overfilling_com,string,[]
evidence_spillage_overfilling_fu,evidence_spillage_overfilling_fu,string,[]
inspection_id,inspection_id,string,[]
loc_name,loc_name,string,[]
manholecovers_subsurface_equipment,manholecovers_subsurface_equipment,string,[]
manholecovers_subsurface_equipment_com,manholecovers_subsurface_equipment_com,string,[]
manholecovers_subsurface_equipment_fu,manholecovers_subsurface_equipment_fu,string,[]
primary_contents,primary_contents,string,[]
spill_buckets_damaged,spill_buckets_damaged,string,[]
spill_buckets_damaged_com,spill_buckets_damaged_com,string,[]
spill_buckets_damaged_fu,spill_buckets_damaged_fu,string,[]
spill_material_replacement,spill_material_replacement,string,[]
spill_material_replacement_com,spill_material_replacement_com,string,[]
spill_material_replacement_fu,spill_material_replacement_fu,string,[]
structural_damage,structural_damage,string,[]
structural_damage_com,structural_damage_com,string,[]
structural_damage_fu,structural_damage_fu,string,[]
tank_damaged_labeled,tank_damaged_labeled,string,[]
tank_damaged_labeled_com,tank_damaged_labeled_com,string,[]
tank_damaged_labeled_fu,tank_damaged_labeled_fu,string,[]
tank_vent_obstructed,tank_vent_obstructed,string,[]
tank_vent_obstructed_com,tank_vent_obstructed_com,string,[]
tank_vent_obstructed_fu,tank_vent_obstructed_fu,string,[]
threat_procedures_not_posted,threat_procedures_not_posted,string,[]
threat_procedures_not_posted_com,threat_procedures_not_posted_com,string,[]
threat_procedures_not_posted_fu,threat_procedures_not_posted_fu,string,[]
