_element_key,_element_name,_element_type,_list_child_element_keys
absorbent_replaced,absorbent_replaced,string,[]
absorbent_replacement,absorbent_replacement,string,[]
condition,condition,string,[]
damage_present,damage_present,string,[]
debris_present,debris_present,string,[]
depth,depth,string,[]
depth_unit,depth_unit,string,[]
diameter,diameter,string,[]
diameter_unit,diameter_unit,string,[]
dry_or_connected,dry_or_connected,string,[]
estimated_quantity,estimated_quantity,string,[]
estimated_quantity_unit,estimated_quantity_unit,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
global_id,global_id,string,[]
inspection_id,inspection_id,string,[]
manifest_bol,manifest_bol,string,[]
odor_present,odor_present,string,[]
other_maintenance,other_maintenance,string,[]
pid_reading,pid_reading,number,[]
pid_reading_option,pid_reading_option,string,[]
product_present,product_present,string,[]
samples_obtained_analyzed,samples_obtained_analyzed,string,[]
saturated_or_filled,saturated_or_filled,string,[]
sediment_removed,sediment_removed,string,[]
sediment_thickness,sediment_thickness,string,[]
sediment_thickness_unit,sediment_thickness_unit,string,[]
sediment_thickness_units,sediment_thickness_units,string,[]
sheen_present,sheen_present,string,[]
type_of_material,type_of_material,string,[]
waste_drums_hazardous,waste_drums_hazardous,number,[]
waste_drums_non_hazardous,waste_drums_non_hazardous,number,[]
water_flowing_freely,water_flowing_freely,string,[]
water_in_vault,water_in_vault,string,[]
z_sample_date,z_sample_date,string,[]
