_element_key,_element_name,_element_type,_list_child_element_keys
construction_id,construction_id,string,[]
consumables,consumables,array,"[""consumables_items""]"
consumables_items,items,string,[]
equipment,equipment,array,"[""equipment_items""]"
equipment_items,items,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
personnel,personnel,array,"[""personnel_items""]"
personnel_items,items,string,[]
project_arrive_time,project_arrive_time,time,[]
project_depart_time,project_depart_time,time,[]
project_end_time,project_end_time,time,[]
project_start_time,project_start_time,time,[]
sample_date,sample_date,date,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
skt,skt,mimeUri,"[""skt_uriFragment"",""skt_contentType""]"
skt_contentType,contentType,string,[]
skt_name,skt_name,string,[]
skt_uriFragment,uriFragment,rowpath,[]
subcontractors,subcontractors,string,[]
task,task,string,[]
vehicle,vehicle,array,"[""vehicle_items""]"
vehicle_items,items,string,[]
weather,weather,string,[]
