_element_key,_element_name,_element_type,_list_child_element_keys
consumable_name_0,consumable_name_0,string,[]
consumable_name_1,consumable_name_1,string,[]
consumable_name_2,consumable_name_2,string,[]
consumable_quantity_0,consumable_quantity_0,string,[]
consumable_quantity_1,consumable_quantity_1,string,[]
consumable_quantity_2,consumable_quantity_2,string,[]
consumable_totalhrs_0,consumable_totalhrs_0,string,[]
consumable_totalhrs_1,consumable_totalhrs_1,string,[]
consumable_totalhrs_2,consumable_totalhrs_2,string,[]
equipment_name_0,equipment_name_0,string,[]
equipment_name_1,equipment_name_1,string,[]
equipment_name_2,equipment_name_2,string,[]
equipment_quantity_0,equipment_quantity_0,string,[]
equipment_quantity_1,equipment_quantity_1,string,[]
equipment_quantity_2,equipment_quantity_2,string,[]
equipment_totalhrs_0,equipment_totalhrs_0,string,[]
equipment_totalhrs_1,equipment_totalhrs_1,string,[]
equipment_totalhrs_2,equipment_totalhrs_2,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
inspection_id,inspection_id,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
personnel_endtime_0,personnel_endtime_0,string,[]
personnel_endtime_1,personnel_endtime_1,string,[]
personnel_endtime_2,personnel_endtime_2,string,[]
personnel_name_0,personnel_name_0,string,[]
personnel_name_1,personnel_name_1,string,[]
personnel_name_2,personnel_name_2,string,[]
personnel_starttime_0,personnel_starttime_0,string,[]
personnel_starttime_1,personnel_starttime_1,string,[]
personnel_starttime_2,personnel_starttime_2,string,[]
personnel_title_0,personnel_title_0,string,[]
personnel_title_1,personnel_title_1,string,[]
personnel_title_2,personnel_title_2,string,[]
personnel_totalhrs_0,personnel_totalhrs_0,string,[]
personnel_totalhrs_1,personnel_totalhrs_1,string,[]
personnel_totalhrs_2,personnel_totalhrs_2,string,[]
project_arrive_time,project_arrive_time,time,[]
project_comment,project_comment,string,[]
project_correl_id,project_correl_id,string,[]
project_daily_report,project_daily_report,string,[]
project_depart_time,project_depart_time,time,[]
project_done,project_done,string,[]
project_end_time,project_end_time,time,[]
project_manager,project_manager,string,[]
project_number,project_number,string,[]
project_start_time,project_start_time,time,[]
sample_date,sample_date,string,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
skt,skt,mimeUri,"[""skt_uriFragment"",""skt_contentType""]"
skt_contentType,contentType,string,[]
skt_name,skt_name,string,[]
skt_uriFragment,uriFragment,rowpath,[]
subcontractors,subcontractors,string,[]
task,task,string,[]
vehicle_name_0,vehicle_name_0,string,[]
vehicle_name_1,vehicle_name_1,string,[]
vehicle_name_2,vehicle_name_2,string,[]
vehicle_quantity_0,vehicle_quantity_0,string,[]
vehicle_quantity_1,vehicle_quantity_1,string,[]
vehicle_quantity_2,vehicle_quantity_2,string,[]
vehicle_totalhrs_0,vehicle_totalhrs_0,string,[]
vehicle_totalhrs_1,vehicle_totalhrs_1,string,[]
vehicle_totalhrs_2,vehicle_totalhrs_2,string,[]
weather,weather,string,[]
