_element_key,_element_name,_element_type,_list_child_element_keys
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
point_description,point_description,string,[]
sample_id,sample_id,string,[]
sampling_type,sampling_type,string,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
skt,skt,mimeUri,"[""skt_uriFragment"",""skt_contentType""]"
skt_contentType,contentType,string,[]
skt_name,skt_name,string,[]
skt_uriFragment,uriFragment,rowpath,[]
stdaslog_id,stdaslog_id,string,[]
