_element_key,_element_name,_element_type,_list_child_element_keys
consumables,consumables,array,"[""consumables_items""]"
consumables_items,items,string,[]
drill_company,drill_company,string,[]
drill_method,drill_method,string,[]
equipment,equipment,array,"[""equipment_items""]"
equipment_items,items,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
personnel,personnel,array,"[""personnel_items""]"
personnel_items,items,string,[]
sample_date,sample_date,date,[]
stdbslog_id,stdbslog_id,string,[]
vehicle,vehicle,array,"[""vehicle_items""]"
vehicle_items,items,string,[]
