_element_key,_element_name,_element_type,_list_child_element_keys
boring_diameter,boring_diameter,string,[]
core_sample_type,core_sample_type,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
sample_id,sample_id,string,[]
skt,skt,mimeUri,"[""skt_uriFragment"",""skt_contentType""]"
skt_contentType,contentType,string,[]
skt_name,skt_name,string,[]
skt_uriFragment,uriFragment,rowpath,[]
stdbslog_id,stdbslog_id,string,[]
z_sample_date,z_sample_date,string,[]
