_element_key,_element_name,_element_type,_list_child_element_keys
bolts,bolts,string,[]
con_pad_intect,con_pad_intect,string,[]
depth_to_bottom,depth_to_bottom,number,[]
depth_to_water,depth_to_water,number,[]
diameter,diameter,number,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
locked,locked,string,[]
material,material,string,[]
one_purge_volume,one_purge_volume,string,[]
pro_casing_secure,pro_casing_secure,string,[]
pump_type,pump_type,string,[]
purge_end,purge_end,time,[]
purge_start,purge_start,time,[]
pvc_casing_intact,pvc_casing_intact,string,[]
sample_id,sample_id,string,[]
sampling_type,sampling_type,string,[]
sign,sign,mimeUri,"[""sign_uriFragment"",""sign_contentType""]"
sign_contentType,contentType,string,[]
sign_person_name,sign_person_name,string,[]
sign_uriFragment,uriFragment,rowpath,[]
skt,skt,mimeUri,"[""skt_uriFragment"",""skt_contentType""]"
skt_contentType,contentType,string,[]
skt_name,skt_name,string,[]
skt_uriFragment,uriFragment,rowpath,[]
stdgwslog_id,stdgwslog_id,string,[]
well_gripper,well_gripper,string,[]
