_element_key,_element_name,_element_type,_list_child_element_keys
annual_cleaning,annual_cleaning,string,[]
global_id,global_id,string,[]
loc_aid,loc_aid,string,[]
loc_city,loc_city,string,[]
loc_client,loc_client,string,[]
loc_name,loc_name,string,[]
loc_state,loc_state,string,[]
loc_streetAddress,loc_streetAddress,string,[]
loc_zip,loc_zip,string,[]
personnel,personnel,array,"[""personnel_items""]"
personnel_items,items,string,[]
repair_defective,repair_defective,string,[]
sample_date,sample_date,date,[]
type_of_inspection,type_of_inspection,string,[]
weather,weather,string,[]
