_element_key,_element_name,_element_type,_list_child_element_keys
drums_generated,drums_generated,string,[]
geo_info,geo_info,geopoint,"[""geo_info_latitude"",""geo_info_longitude"",""geo_info_altitude"",""geo_info_accuracy""]"
geo_info_accuracy,accuracy,number,[]
geo_info_altitude,altitude,number,[]
geo_info_latitude,latitude,number,[]
geo_info_longitude,longitude,number,[]
global_id,global_id,string,[]
inspection_id,inspection_id,string,[]
manifest_bol,manifest_bol,string,[]
number_of_drums,number_of_drums,number,[]
track_mats_replaced,track_mats_replaced,string,[]
waste_drums_hazardous,waste_drums_hazardous,number,[]
waste_drums_non_hazardous,waste_drums_non_hazardous,number,[]
